accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,pca_var,n_features
0.5331325301204819,0.965625,0.5082236842105263,0.665948275862069,0.6815084586466165,0.17340471267955976,CHE,sitewise,30,664,0.9,131
0.7464788732394366,0.583756345177665,0.8156028368794326,0.6804733727810651,0.8452407614781636,0.49821781343797705,CMD,sitewise,30,426,0.9,132
0.5630498533724341,0.9598246895544192,0.5361077111383109,0.6879581151832461,0.7293317249129876,0.20391090744525203,GAK,sitewise,30,2728,0.9,131
0.6422338568935427,0.4813664596273292,0.8031088082901554,0.6019417475728155,0.7737523861467139,0.3463948942066262,KAL,sitewise,30,573,0.9,132
0.7861635220125787,0.5645569620253165,0.5465686274509803,0.5554171855541719,0.7926594934446232,0.41478711329870105,KATMOJPRZ,sitewise,30,3339,0.9,135
0.7317073170731707,0.7333333333333333,0.88,0.8,0.8372999999999999,0.418366230748017,KIEG,sitewise,30,205,0.9,132
0.6892583120204604,0.7893982808022922,0.6191011235955056,0.6939546599496221,0.7635781682392557,0.3994688503103656,KLU,sitewise,30,1564,0.9,133
0.7179080824088748,0.6948051948051948,0.7181208053691275,0.7062706270627063,0.7959771852389304,0.43529055472055656,KUD,sitewise,30,631,0.9,132
0.7020785219399538,0.5350877192982456,0.8413793103448276,0.6541554959785523,0.841786398467433,0.44739815829849156,LUMICE,sitewise,30,433,0.9,133
0.6995581737849779,0.6308610400682012,0.8052230685527747,0.7074569789674953,0.7979584249037902,0.42079485923224214,LUX_A,sitewise,30,2037,0.9,132
0.7296222664015904,0.7777777777777778,0.7567567567567568,0.7671232876712328,0.8211907559733647,0.4452298752809823,MKW,sitewise,30,503,0.9,132
