hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H29,0.763142523364486,0.40459545209421655,19.63,sub_coh,coh,45,190,catboost,patho
H30,0.7281818181818183,0.38181818181818183,16.21,sub_coh,coh,45,190,catboost,patho
H1,0.7148227653515034,0.31185878316727744,39.91,sub_coh,coh,46,190,catboost,patho
H2,0.7090562834158827,0.3213491728615773,22.9,sub_coh,coh,46,190,catboost,patho
H3,0.7067054508506498,0.22032234949639137,13.46,sub_coh,coh,46,190,catboost,patho
H4,0.7029205195132205,0.2773718475826632,14.25,sub_coh,coh,46,190,catboost,patho
H5,0.6858768790264853,0.27364046715567936,13.58,sub_coh,coh,46,190,catboost,patho
H6,0.6757248925047368,0.24561103966090383,21.67,sub_coh,coh,46,190,catboost,patho
H7,0.7897190664662624,0.42683970610988736,19.1,sub_coh,coh,46,190,catboost,patho
H8,0.6506947860304968,0.0959057947455767,22.59,sub_coh,coh,46,190,catboost,patho
H9,0.6940559214356876,0.22954532081543233,30.17,sub_coh,coh,46,190,catboost,patho
H10,0.710392808433048,0.3046878646812712,23.87,sub_coh,coh,46,190,catboost,patho
