mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.487835248306476,0.8032258064516129,0.5,0.7377049180327869,0.5960264900662252,0.8478796790074689,catboost,H19,sitewise,30,930,0.99,633
0.4304457321231574,0.7166045185347664,0.7249869041382923,0.6434216643421664,0.6817733990147783,0.7873422081362141,catboost,H2,sitewise,30,4559,0.99,634
0.1784746817570646,0.4894578313253012,0.868421052631579,0.3905325443786982,0.5387755102040817,0.6783879194462241,catboost,H20,sitewise,30,664,0.99,630
0.4563310138229079,0.7844690966719493,0.7920792079207921,0.4102564102564102,0.5405405405405406,0.7920606916019759,catboost,H21,sitewise,30,631,0.99,631
0.473359223319365,0.7766143106457243,0.5392670157068062,0.7202797202797203,0.6167664670658682,0.8279395023581071,catboost,H22,sitewise,30,573,0.99,633
0.381819306393094,0.6878727634194831,0.73,0.5863453815261044,0.6503340757238307,0.7634474907504031,catboost,H23,sitewise,30,503,0.99,632
0.4995857272847735,0.7835051546391752,0.7272727272727273,0.5818181818181818,0.6464646464646465,0.838125,catboost,H24,sitewise,30,485,0.99,633
0.4846732337309441,0.7759815242494227,0.5533333333333333,0.7345132743362832,0.6311787072243346,0.8503871681415929,catboost,H25,sitewise,30,433,0.99,634
0.5671930941766721,0.8028169014084507,0.7936507936507936,0.6329113924050633,0.704225352112676,0.8691668241073115,catboost,H26,sitewise,30,426,0.99,633
0.5395115645845452,0.7762430939226519,0.7077922077922078,0.7517241379310344,0.7290969899665551,0.8692515493405372,catboost,H27,sitewise,30,362,0.99,633
0.3599294800933743,0.7007575757575758,0.6511627906976745,0.5333333333333333,0.5863874345549738,0.7799940101826894,catboost,H28,sitewise,30,264,0.99,633
0.5023346296807889,0.751219512195122,0.7692307692307693,0.7476635514018691,0.7582938388625592,0.8267213427427045,catboost,H29,sitewise,30,205,0.99,633
0.3528270919185105,0.8382749326145552,0.4067796610169492,0.4897959183673469,0.4444444444444444,0.774093948598533,catboost,H3,sitewise,30,3339,0.99,640
0.371647202734732,0.6928571428571428,0.6440677966101694,0.6333333333333333,0.6386554621848739,0.775,catboost,H30,sitewise,30,140,0.99,633
0.4644360237623013,0.808275426405559,0.5731225296442688,0.6058495821727019,0.5890318212593094,0.8178303703096839,catboost,H4,sitewise,30,3166,0.99,630
0.3466112550503945,0.7140554480980013,0.6269368295589988,0.4781818181818182,0.5425477050025787,0.7306561620197984,catboost,H5,sitewise,30,3102,0.99,627
0.3428804744363703,0.6202737940026075,0.8557168784029038,0.4838378655720882,0.6181579809898394,0.7395575559245111,catboost,H6,sitewise,30,3068,0.99,625
0.4947404068362273,0.7861573620633366,0.5911379657603223,0.7021531100478469,0.6418808091853472,0.829974884142634,catboost,H7,sitewise,30,3063,0.99,693
0.1657865398516719,0.5172287390029325,0.9822667694680032,0.4961059190031153,0.6592496765847348,0.7517377336448599,catboost,H8,sitewise,30,2728,0.99,632
0.2986103574149752,0.5938766321476813,0.910386965376782,0.5234192037470726,0.6646840148698885,0.752821260802279,catboost,H9,sitewise,30,2221,0.99,627
0.4622191817485585,0.767891312667432,0.6343397377249161,0.6289688539461747,0.63164287883389,0.8129157503127048,catboost,H1,sitewise,30,10452,0.95,219
