accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.7,0.6363636363636364,0.7,0.6666666666666666,0.7824999999999999,0.3965452776772877,H30,catboost,combat,30,140
0.6470019342359767,0.5016677785190127,0.6836363636363636,0.5786841092727972,0.7253600944510035,0.2972594570278685,H5,catboost,combat,30,3102
0.4728915662650602,0.8944723618090452,0.3510848126232742,0.5042492917847026,0.6910639580899257,0.201564561534015,H20,catboost,combat,30,664
0.6470013037809648,0.8447452229299363,0.5443817342226783,0.6620904836193447,0.7508531906786596,0.3623167617503214,H6,catboost,combat,30,3068
0.7275718359289318,0.726231956197113,0.6782891678289168,0.7014423076923076,0.795635113699724,0.4523647889888517,H2,catboost,combat,30,4559
0.7883631713554987,0.6093023255813953,0.6164705882352941,0.6128654970760234,0.8289066776842431,0.4672649561862416,H13,catboost,combat,30,1564
0.5021994134897361,0.9879032258064516,0.47702492211838,0.6433823529411765,0.7951883761682244,0.1808654431919421,H8,catboost,combat,30,2728
0.7766143106457243,0.5401069518716578,0.7062937062937062,0.6121212121212121,0.832330460237437,0.4672941236093378,H22,catboost,combat,30,573
0.7484848484848485,0.7272727272727273,0.660377358490566,0.69221260815822,0.7932445496366425,0.4820068881504701,H18,catboost,combat,30,990
0.7680278019113814,0.6172607879924953,0.8392857142857143,0.7113513513513513,0.861102148369229,0.5422132298251507,H16,catboost,combat,30,1151
0.649795918367347,0.6468401486988847,0.3425196850393701,0.4478764478764478,0.6664168286495569,0.2499502415490245,H15,catboost,combat,30,1225
0.6998011928429424,0.7578947368421053,0.5783132530120482,0.6560364464692483,0.775242703095848,0.4096271276462813,H23,catboost,combat,30,503
0.812206572769953,0.7954545454545454,0.6645569620253164,0.7241379310344828,0.8659786510485546,0.5889366995983841,H26,catboost,combat,30,426
0.7604320078546882,0.7125748502994012,0.5092724679029957,0.5940099833610649,0.8162633363800218,0.44291498747253,H10,catboost,combat,30,2037
0.7806451612903226,0.4676923076923077,0.8306010928961749,0.5984251968503937,0.8487721377312529,0.4994581909075865,H19,catboost,combat,30,930
0.7933333333333333,0.823943661971831,0.5688816855753647,0.673058485139022,0.8502481325339956,0.5486835310998659,H11,catboost,combat,30,1650
0.7876288659793814,0.75,0.5636363636363636,0.643598615916955,0.8595265151515151,0.5069293279671844,H24,catboost,combat,30,485
0.76905311778291,0.5403726708074534,0.7699115044247787,0.635036496350365,0.8584900442477876,0.4894775308207104,H25,catboost,neurocombat,30,433
